Event,Gold,Silver,Bronze,Total,Year,Season
PARA - Fencing,0,1,1,2,1964,Summer
PARA - Dartchery,0,1,0,1,1964,Summer
PARA - Swimming,3,6,5,14,1960,Summer
PARA - Track & Field,3,0,1,4,1960,Summer
PARA - Archery,2,0,1,3,1960,Summer
PARA - Basketball,1,0,0,1,1960,Summer
PARA - Dartchery,1,1,0,2,1960,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
,,,,,,Summer
